Date,TAVG,TMAX,TMIN
2024-01-01,29.4,35.4,25.0
2024-01-02,28.9,35.8,
2024-01-03,29.3,35.0,
2024-01-04,29.2,35.0,
2024-01-05,28.9,,25.6
2024-01-06,30.4,34.8,
2024-01-07,29.5,35.2,25.6
2024-01-08,29.4,35.2,25.7
2024-01-09,29.1,35.0,26.0
2024-01-10,29.0,34.2,25.1
2024-01-11,29.3,,
2024-01-12,29.8,36.2,
2024-01-13,29.8,35.8,25.5
2024-01-14,29.3,34.1,25.8
2024-01-15,29.4,35.7,25.5
2024-01-16,29.6,,25.5
2024-01-17,30.4,,
2024-01-18,28.2,,24.0
2024-01-19,28.4,34.5,
2024-01-20,29.4,,
2024-01-21,31.3,35.8,
2024-01-22,29.3,,25.5
2024-01-23,29.6,35.6,25.0
2024-01-24,29.9,35.1,25.5
2024-01-25,29.5,,25.1
2024-01-26,28.8,35.4,23.7
2024-01-27,28.1,35.5,
2024-01-28,28.4,35.2,23.0
2024-01-29,28.7,36.2,23.5
2024-01-30,29.3,36.4,24.5
2024-01-31,29.3,35.7,
2024-02-01,29.4,,24.6
2024-02-02,29.5,35.3,26.0
2024-02-03,28.9,35.4,23.5
2024-02-04,29.0,36.0,23.1
2024-02-05,28.7,37.0,23.0
2024-02-06,28.6,36.0,
2024-02-07,28.8,35.6,22.5
2024-02-08,29.0,37.1,
2024-02-09,28.6,,24.2
2024-02-10,30.1,35.8,
2024-02-11,29.9,36.0,26.8
2024-02-12,30.1,35.5,27.0
2024-02-13,30.8,36.6,27.5
2024-02-14,31.2,36.7,
2024-02-15,29.8,,27.0
2024-02-16,30.3,36.0,25.8
2024-02-17,30.3,36.2,26.0
2024-02-18,30.3,35.7,27.0
2024-02-19,30.3,,
2024-02-20,28.6,,
2024-02-21,29.5,36.0,24.2
2024-02-22,27.3,31.8,
2024-02-23,29.1,33.0,
2024-02-24,28.6,,24.1
2024-02-25,29.4,,25.0
2024-02-26,30.2,,26.5
2024-02-27,30.0,34.8,
2024-02-28,29.8,,26.5
2024-02-29,30.2,,26.8
2024-03-01,29.7,,
2024-03-02,30.2,35.5,26.5
2024-03-03,29.8,,25.5
2024-03-04,29.7,35.2,25.3
2024-03-05,29.5,,26.5
2024-03-06,30.1,35.0,
2024-03-07,29.1,,
2024-03-08,29.0,34.6,25.8
2024-03-09,26.7,34.6,
2024-03-10,29.4,35.0,25.0
2024-03-11,29.7,,
2024-03-12,29.7,,
2024-03-13,29.9,34.2,
2024-03-14,28.2,,
2024-03-15,30.8,,25.6
2024-03-16,30.9,,
2024-03-17,30.9,35.2,
2024-03-18,30.1,35.4,
2024-03-19,28.1,,24.8
2024-03-20,30.8,,
2024-03-21,31.1,,
2024-03-22,29.4,35.0,
2024-03-23,28.9,,24.5
2024-03-24,30.3,,
2024-03-25,29.8,35.0,
2024-03-26,27.5,34.5,24.7
2024-03-27,31.5,,
2024-04-01,29.7,,
2024-04-02,27.4,,
2024-04-03,28.0,,
2024-04-04,30.2,35.4,25.0
2024-04-05,30.5,35.0,27.5
2024-04-06,29.6,32.7,
2024-04-07,30.4,36.4,25.0
2024-04-08,29.2,,
2024-04-09,30.2,34.3,
2024-04-10,30.2,36.0,26.8
2024-04-11,30.3,36.0,26.0
2024-04-12,30.2,,
2024-04-13,30.9,35.2,
2024-04-14,28.2,30.0,27.0
2024-04-15,30.7,,25.6
2024-04-16,29.2,33.0,26.2
2024-04-17,29.0,34.1,
2024-04-18,29.7,35.6,26.7
2024-04-19,31.3,35.4,27.5
2024-04-20,31.6,35.6,
2024-04-21,27.6,32.5,
2024-04-22,28.6,,22.5
2024-04-23,27.5,,
2024-04-24,28.9,,25.5
2024-04-25,30.2,,
2024-04-26,30.8,35.0,
2024-04-27,30.3,35.5,27.0
2024-04-28,30.7,35.2,27.4
2024-04-29,30.8,35.0,27.5
2024-04-30,31.0,35.4,27.5
2024-05-02,29.8,,25.5
2024-05-03,26.6,30.5,
2024-05-04,28.2,,22.5
2024-05-05,30.6,35.2,26.7
2024-05-06,28.0,32.5,23.5
2024-05-07,28.9,,24.5
2024-05-08,29.8,,
2024-05-09,30.0,34.5,26.6
2024-05-10,30.1,33.8,27.0
2024-05-11,27.3,32.2,
2024-05-12,28.6,33.7,23.5
2024-05-13,29.3,,26.0
2024-05-14,26.2,,23.6
2024-05-15,30.3,34.7,25.0
2024-05-16,26.1,29.0,
2024-05-17,28.7,34.0,22.6
2024-05-18,28.9,33.0,24.0
2024-05-19,28.3,34.5,
2024-05-20,30.3,,26.6
2024-05-21,30.6,35.3,27.1
2024-05-22,27.3,31.2,22.5
2024-05-23,29.0,33.5,24.0
2024-05-24,28.4,34.2,
2024-05-25,26.6,30.4,23.2
2024-05-26,28.4,33.0,24.0
2024-05-27,29.1,,25.0
2024-05-28,29.3,33.0,26.1
2024-05-29,29.6,33.5,
2024-05-30,28.5,,26.0
2024-05-31,26.7,29.6,
2024-06-01,28.7,,24.4
2024-06-02,25.9,,
